,partyKey,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
194,2,2,1,3,5,5,2,4,2,3,1,3,5,3,4,4
195,2,3,4,5,4,5,4,5,1,1,1,5,4,1,5,3
196,2,4,2,4,4,4,4,4,2,2,1,4,4,4,4,4
197,2,4,2,4,5,2,4,2,4,2,1,5,2,2,4,2
198,2,4,4,5,5,4,1,2,1,2,1,5,4,5,4,1
199,2,2,3,3,2,5,5,4,1,3,2,5,5,4,4,4
200,2,2,4,4,2,5,5,4,3,1,1,4,5,3,5,4
201,2,4,3,4,4,5,5,2,1,4,1,4,5,4,4,4
202,2,3,4,4,4,2,5,4,2,2,1,4,5,4,5,1
203,2,4,5,3,4,3,4,3,3,3,3,5,3,3,3,3
204,7,2,2,1,2,5,5,5,5,1,1,2,5,3,4,4
205,7,1,4,2,2,5,5,4,3,2,3,4,5,2,5,4
206,7,1,4,1,1,5,5,5,4,2,2,1,5,1,2,4
207,4,5,5,5,5,1,1,2,2,1,5,5,2,5,5,1
208,4,5,4,5,5,2,2,1,3,1,5,5,2,4,5,1
209,9,5,5,5,5,4,4,4,3,3,4,4,5,5,2,4
210,9,4,4,5,5,5,4,5,2,2,2,4,5,5,4,4
211,7,1,3,1,1,5,5,3,3,1,2,1,4,2,4,4
212,7,1,1,2,1,4,5,4,3,4,1,1,5,4,1,2
213,1,1,2,2,2,5,5,3,1,5,3,3,3,4,2,1
214,9,4,4,3,5,2,2,3,1,4,4,4,1,5,5,1
215,9,1,4,4,5,5,1,2,5,1,1,5,5,4,5,1
216,9,4,2,4,4,4,2,4,3,4,3,4,4,5,4,1
217,3,1,1,1,2,3,5,5,5,1,1,2,5,1,5,5
218,3,1,1,1,2,4,5,5,5,1,1,2,5,1,5,4
219,8,2,2,1,2,3,3,5,4,3,2,3,4,1,3,4
220,6,4,1,2,5,5,4,4,4,5,1,5,5,1,4,1
221,6,2,4,4,4,5,4,2,3,2,2,5,4,4,2,3
222,2,3,5,5,5,5,1,5,4,3,3,5,5,5,5,4
223,7,5,3,3,1,3,5,5,5,1,1,1,5,1,3,5
224,9,4,5,5,5,1,1,5,2,4,3,5,5,5,1,1
